chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_female	logFC	FDR	gExp_up_in_female	epi_regulation
chr1	100558817	100558819	intron	87754	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
chr1	100590739	100590741	Intergenic	119676	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
chr1	100608098	100608100	Intergenic	137035	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
chr7	141819761	141819763	intron	-69680	ENSRNOT00000079011.1	Atf1	FALSE	6.794	0.003	FALSE	TRUE
chr7	141950565	141950567	Intergenic	61124	ENSRNOT00000079011.1	Atf1	FALSE	6.794	0.003	FALSE	TRUE
chr18	15393727	15393729	Intergenic	-74140	ENSRNOT00000091696.1	B4galt6	FALSE	8.717	0	FALSE	TRUE
chr1	15654485	15654487	intron	-127989	ENSRNOT00000088025.1	Bclaf1	TRUE	-6.028	0.014	TRUE	TRUE
chr9	9594686	9594688	Intergenic	-126448	ENSRNOT00000075494.1	C3	FALSE	5.959	0.021	FALSE	TRUE
chr9	9617903	9617905	intron	-103231	ENSRNOT00000075494.1	C3	FALSE	5.959	0.021	FALSE	TRUE
chr9	60881598	60881600	exon	-18612	ENSRNOT00000017859.5	Ccdc150	TRUE	-5.694	0.028	TRUE	TRUE
chr9	60910677	60910679	intron	10467	ENSRNOT00000017859.5	Ccdc150	TRUE	-5.694	0.028	TRUE	TRUE
chr2	52333900	52333902	intron	-63272	ENSRNOT00000082614.1	Ccl28	TRUE	-5.388	0.05	TRUE	TRUE
chr2	52359408	52359410	intron	-37764	ENSRNOT00000082614.1	Ccl28	TRUE	-5.388	0.05	TRUE	TRUE
chr2	52360665	52360667	intron	-36507	ENSRNOT00000082614.1	Ccl28	TRUE	-5.388	0.05	TRUE	TRUE
chr16	14231118	14231120	Intergenic	116927	ENSRNOT00000018630.5	Cdhr1	TRUE	-1.81	0	TRUE	TRUE
chr13	57131998	57132000	intron	-51508	ENSRNOT00000017749.6	Cfh	TRUE	-8.053	0	TRUE	TRUE
chr13	34363134	34363136	Intergenic	-37033	ENSRNOT00000061516.5	Clasp1	TRUE	-2.89	0	TRUE	TRUE
chr11	83973143	83973145	Intergenic	89098	ENSRNOT00000002376.8	Clcn2	FALSE	7.292	0	FALSE	TRUE
chr4	66395533	66395535	Intergenic	-9770	ENSRNOT00000067097.2	Clec2l	FALSE	5.576	0.044	FALSE	TRUE
chr1	267536888	267536890	intron	-73184	ENSRNOT00000016645.6	Col17a1	TRUE	-5.752	0.025	TRUE	TRUE
chr1	267466504	267466506	promoter-TSS	-2800	ENSRNOT00000016645.6	Col17a1	TRUE	-5.752	0.025	TRUE	TRUE
chr1	267336984	267336986	Intergenic	126720	ENSRNOT00000016645.6	Col17a1	TRUE	-5.752	0.025	TRUE	TRUE
chr10	82671896	82671898	Intergenic	-73902	ENSRNOT00000005311.6	Col1a1	TRUE	-1.127	0	TRUE	TRUE
chr10	82705539	82705541	Intergenic	-40259	ENSRNOT00000005311.6	Col1a1	TRUE	-1.127	0	TRUE	TRUE
chr10	82761627	82761629	exon	15829	ENSRNOT00000005311.6	Col1a1	TRUE	-1.127	0	TRUE	TRUE
chr10	11128154	11128156	intron	37843	ENSRNOT00000086305.1	Coro7	TRUE	-5.755	0.025	TRUE	TRUE
chr10	11225521	11225523	Intergenic	135210	ENSRNOT00000086305.1	Coro7	TRUE	-5.755	0.025	TRUE	TRUE
chr7	120742989	120742991	intron	-70640	ENSRNOT00000018126.3	Csnk1e	TRUE	-3.314	0	TRUE	TRUE
chr7	120741570	120741572	intron	-69221	ENSRNOT00000018126.3	Csnk1e	TRUE	-3.314	0	TRUE	TRUE
chr7	120702810	120702812	Intergenic	-30461	ENSRNOT00000018126.3	Csnk1e	TRUE	-3.314	0	TRUE	TRUE
chr7	120557683	120557685	intron	114666	ENSRNOT00000018126.3	Csnk1e	TRUE	-3.314	0	TRUE	TRUE
chr4	117726326	117726328	Intergenic	88331	ENSRNOT00000036247.6	Dusp11	TRUE	-7.1	0	TRUE	TRUE
chr4	117724756	117724758	Intergenic	89901	ENSRNOT00000036247.6	Dusp11	TRUE	-7.1	0	TRUE	TRUE
chr5	156264499	156264501	intron	49085	ENSRNOT00000067616.2	Ece1	TRUE	-0.917	0.005	TRUE	TRUE
chrX	63382619	63382621	intron	-91513	ENSRNOT00000092019.1	Eif2s3	TRUE	-0.669	0	TRUE	TRUE
chrX	63346398	63346400	intron	-55292	ENSRNOT00000092019.1	Eif2s3	TRUE	-0.669	0	TRUE	TRUE
chrX	63237931	63237933	Intergenic	53175	ENSRNOT00000092019.1	Eif2s3	TRUE	-0.669	0	TRUE	TRUE
chr15	61961604	61961606	Intergenic	134670	ENSRNOT00000079417.1	Elf1	TRUE	-6.069	0.013	TRUE	TRUE
chr8	127136510	127136512	Intergenic	-8390	ENSRNOT00000013530.5	Eomes	TRUE	-1.1	0.003	TRUE	TRUE
chr8	127219341	127219343	intron	74441	ENSRNOT00000013530.5	Eomes	TRUE	-1.1	0.003	TRUE	TRUE
chr1	20971976	20971978	Intergenic	-9451	ENSRNOT00000079688.1	Epb41l2	TRUE	-5.79	0.024	TRUE	TRUE
chr1	41197785	41197787	intron	-127674	ENSRNOT00000081017.1	Esr1	TRUE	-0.772	0.044	TRUE	TRUE
chr1	41198474	41198476	intron	-126985	ENSRNOT00000081017.1	Esr1	TRUE	-0.772	0.044	TRUE	TRUE
chr1	41288108	41288110	intron	-37351	ENSRNOT00000081017.1	Esr1	TRUE	-0.772	0.044	TRUE	TRUE
chr6	86717260	86717262	intron	-106425	ENSRNOT00000006574.6	Fancm	TRUE	-3.454	0.018	TRUE	TRUE
chr6	86820852	86820854	intron	-2833	ENSRNOT00000006574.6	Fancm	TRUE	-3.454	0.018	TRUE	TRUE
chr6	125872015	125872017	intron	-148284	ENSRNOT00000084815.1	Fbln5	TRUE	-6.042	0.013	TRUE	TRUE
chr6	125828749	125828751	intron	-105018	ENSRNOT00000084815.1	Fbln5	TRUE	-6.042	0.013	TRUE	TRUE
chr6	125603287	125603289	Intergenic	120444	ENSRNOT00000084815.1	Fbln5	TRUE	-6.042	0.013	TRUE	TRUE
chr6	125602786	125602788	Intergenic	120945	ENSRNOT00000084815.1	Fbln5	TRUE	-6.042	0.013	TRUE	TRUE
chr10	49120289	49120291	Intergenic	-138902	ENSRNOT00000091100.1	Fbxw10	TRUE	-8.231	0	TRUE	TRUE
chr10	49173801	49173803	Intergenic	-85390	ENSRNOT00000091100.1	Fbxw10	TRUE	-8.231	0	TRUE	TRUE
chr10	49175988	49175990	Intergenic	-83203	ENSRNOT00000091100.1	Fbxw10	TRUE	-8.231	0	TRUE	TRUE
chr4	155617706	155617708	intron	-37202	ENSRNOT00000087883.1	Foxj2	TRUE	-2.594	0.002	TRUE	TRUE
chr4	155652422	155652424	promoter-TSS	-2486	ENSRNOT00000087883.1	Foxj2	TRUE	-2.594	0.002	TRUE	TRUE
chrX	138171165	138171167	Intergenic	-22199	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138170045	138170047	Intergenic	-21079	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138147856	138147858	intron	1110	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138107437	138107439	intron	41529	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138106367	138106369	intron	42599	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138044102	138044104	Intergenic	104864	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138011121	138011123	Intergenic	137845	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chrX	138003239	138003241	Intergenic	145727	ENSRNOT00000033968.7	Frmd7	TRUE	-7.946	0	TRUE	TRUE
chr16	35933852	35933854	promoter-TSS	-1204	ENSRNOT00000016474.3	Galnt7	TRUE	-8.225	0	TRUE	TRUE
chr16	36078515	36078517	intron	143459	ENSRNOT00000016474.3	Galnt7	TRUE	-8.225	0	TRUE	TRUE
chr1	80170155	80170157	Intergenic	-96933	ENSRNOT00000021456.2	Gipr	TRUE	-0.74	0.008	TRUE	TRUE
chr1	80124884	80124886	Intergenic	-51662	ENSRNOT00000021456.2	Gipr	TRUE	-0.74	0.008	TRUE	TRUE
chr1	80121552	80121554	Intergenic	-48330	ENSRNOT00000021456.2	Gipr	TRUE	-0.74	0.008	TRUE	TRUE
chr1	80063867	80063869	exon	9355	ENSRNOT00000021456.2	Gipr	TRUE	-0.74	0.008	TRUE	TRUE
chr20	3418052	3418054	intron	-119218	ENSRNOT00000083617.1	Gnl1	TRUE	-8.367	0	TRUE	TRUE
chr20	3388306	3388308	intron	-89472	ENSRNOT00000083617.1	Gnl1	TRUE	-8.367	0	TRUE	TRUE
chr20	3301141	3301143	promoter-TSS	-2307	ENSRNOT00000083617.1	Gnl1	TRUE	-8.367	0	TRUE	TRUE
chr20	3236589	3236591	Intergenic	62245	ENSRNOT00000083617.1	Gnl1	TRUE	-8.367	0	TRUE	TRUE
chr20	3235500	3235502	Intergenic	63334	ENSRNOT00000083617.1	Gnl1	TRUE	-8.367	0	TRUE	TRUE
chr10	15751619	15751621	Intergenic	-147971	ENSRNOT00000051483.3	Hba1	TRUE	-0.398	0.001	TRUE	TRUE
chr10	15739227	15739229	Intergenic	-135579	ENSRNOT00000051483.3	Hba1	TRUE	-0.398	0.001	TRUE	TRUE
chr10	15673465	15673467	intron	-69817	ENSRNOT00000051483.3	Hba1	TRUE	-0.398	0.001	TRUE	TRUE
chr10	15523177	15523179	Intergenic	67042	ENSRNOT00000048977.3	Hba2	TRUE	-0.418	0.001	TRUE	TRUE
chr1	169047073	169047075	Intergenic	-74349	ENSRNOT00000090422.1	Hbb	TRUE	-0.377	0.008	TRUE	TRUE
chrX	118056682	118056684	Intergenic	-140532	ENSRNOT00000090922.1	Htr2c	TRUE	-5.767	0.025	TRUE	TRUE
chrX	118310700	118310702	intron	113486	ENSRNOT00000090922.1	Htr2c	TRUE	-5.767	0.025	TRUE	TRUE
chrX	118311818	118311820	intron	114604	ENSRNOT00000090922.1	Htr2c	TRUE	-5.767	0.025	TRUE	TRUE
chrX	118313152	118313154	intron	115938	ENSRNOT00000090922.1	Htr2c	TRUE	-5.767	0.025	TRUE	TRUE
chrX	22212153	22212155	promoter-TSS	24	ENSRNOT00000080331.1	Iqsec2	FALSE	1.18	0.001	FALSE	TRUE
chrX	22214404	22214406	intron	2275	ENSRNOT00000080331.1	Iqsec2	FALSE	1.18	0.001	FALSE	TRUE
chrX	22303782	22303784	intron	91653	ENSRNOT00000080331.1	Iqsec2	FALSE	1.18	0.001	FALSE	TRUE
chr4	140359466	140359468	intron	112134	ENSRNOT00000041130.5	Itpr1	TRUE	-2.751	0	TRUE	TRUE
chr15	3085645	3085647	intron	-119070	ENSRNOT00000017383.5	Kat6b	FALSE	5.611	0.041	FALSE	TRUE
chr15	2839812	2839814	intron	126763	ENSRNOT00000017383.5	Kat6b	FALSE	5.611	0.041	FALSE	TRUE
chr15	61656028	61656030	Intergenic	-36295	ENSRNOT00000015517.5	Kbtbd6	TRUE	-6.696	0.003	TRUE	TRUE
chr15	61693923	61693925	Intergenic	1600	ENSRNOT00000015517.5	Kbtbd6	TRUE	-6.696	0.003	TRUE	TRUE
chr15	61728218	61728220	Intergenic	35895	ENSRNOT00000015517.5	Kbtbd6	TRUE	-6.696	0.003	TRUE	TRUE
chr5	136147849	136147851	intron	-98299	ENSRNOT00000068395.3	Kif2c	TRUE	-6.15	0.011	TRUE	TRUE
chr1	188474586	188474588	intron	-101016	ENSRNOT00000075020.1	Knop1	FALSE	5.584	0.044	FALSE	TRUE
chr1	188449179	188449181	intron	-75609	ENSRNOT00000075020.1	Knop1	FALSE	5.584	0.044	FALSE	TRUE
chr1	188257814	188257816	intron	115756	ENSRNOT00000075020.1	Knop1	FALSE	5.584	0.044	FALSE	TRUE
chr1	188257346	188257348	intron	116224	ENSRNOT00000075020.1	Knop1	FALSE	5.584	0.044	FALSE	TRUE
chr8	22448110	22448112	intron	-132772	ENSRNOT00000084199.1	Kri1	TRUE	-5.75	0.025	TRUE	TRUE
chr8	22400812	22400814	Intergenic	-85474	ENSRNOT00000084199.1	Kri1	TRUE	-5.75	0.025	TRUE	TRUE
chr8	22380033	22380035	intron	-64695	ENSRNOT00000084199.1	Kri1	TRUE	-5.75	0.025	TRUE	TRUE
chr8	22219059	22219061	intron	96279	ENSRNOT00000084199.1	Kri1	TRUE	-5.75	0.025	TRUE	TRUE
chr8	22185845	22185847	Intergenic	129493	ENSRNOT00000084199.1	Kri1	TRUE	-5.75	0.025	TRUE	TRUE
chr16	10832051	10832053	Intergenic	109366	ENSRNOT00000085414.1	Ldb3	TRUE	-6.687	0.001	TRUE	TRUE
chr16	10831193	10831195	Intergenic	110224	ENSRNOT00000085414.1	Ldb3	TRUE	-6.687	0.001	TRUE	TRUE
chr16	10828514	10828516	Intergenic	112903	ENSRNOT00000085414.1	Ldb3	TRUE	-6.687	0.001	TRUE	TRUE
chr1	252907191	252907193	intron	-57436	ENSRNOT00000025845.4	Lipa	TRUE	-0.808	0.033	TRUE	TRUE
chr1	252848491	252848493	intron	1264	ENSRNOT00000025845.4	Lipa	TRUE	-0.808	0.033	TRUE	TRUE
chr10	104527967	104527969	intron	-5727	ENSRNOT00000046010.3	LOC100360679	TRUE	-3.699	0	TRUE	TRUE
chr10	104523336	104523338	promoter-TSS	-1096	ENSRNOT00000046010.3	LOC100360679	TRUE	-3.699	0	TRUE	TRUE
chr20	3895325	3895327	Intergenic	-40201	ENSRNOT00000072458.2	LOC100909593	FALSE	2.173	0.001	FALSE	TRUE
chr20	4029523	4029525	Intergenic	93997	ENSRNOT00000072458.2	LOC100909593	FALSE	2.173	0.001	FALSE	TRUE
chr20	4047703	4047705	exon	112177	ENSRNOT00000072458.2	LOC100909593	FALSE	2.173	0.001	FALSE	TRUE
chr20	4079929	4079931	Intergenic	144403	ENSRNOT00000072458.2	LOC100909593	FALSE	2.173	0.001	FALSE	TRUE
chr20	4085094	4085096	Intergenic	149568	ENSRNOT00000072458.2	LOC100909593	FALSE	2.173	0.001	FALSE	TRUE
chr18	38906094	38906096	Intergenic	58465	ENSRNOT00000014916.6	LOC100910164	TRUE	-6.38	0.006	TRUE	TRUE
chr13	97808141	97808143	Intergenic	-133613	ENSRNOT00000003791.6	LOC100910414	TRUE	-0.852	0	TRUE	TRUE
chr13	97991946	97991948	intron	50192	ENSRNOT00000003791.6	LOC100910414	TRUE	-0.852	0	TRUE	TRUE
chr9	113898728	113898730	intron	-123406	ENSRNOT00000007657.5	LOC100910771	TRUE	-7.353	0	TRUE	TRUE
chr1	265471464	265471466	Intergenic	101944	ENSRNOT00000086164.1	LOC100911951	FALSE	6.709	0.003	FALSE	TRUE
chr5	137433771	137433773	intron	-25048	ENSRNOT00000076895.1	LOC100912375	TRUE	-6.645	0.003	TRUE	TRUE
chr4	40044126	40044128	Intergenic	-117156	ENSRNOT00000050722.1	LOC500035	FALSE	1.158	0	FALSE	TRUE
chrX	74243510	74243512	intron	-60779	ENSRNOT00000057623.1	LOC680227	TRUE	-2.578	0	TRUE	TRUE
chrX	74254552	74254554	Intergenic	-49737	ENSRNOT00000057623.1	LOC680227	TRUE	-2.578	0	TRUE	TRUE
chrX	74255431	74255433	Intergenic	-48858	ENSRNOT00000057623.1	LOC680227	TRUE	-2.578	0	TRUE	TRUE
chrX	74263573	74263575	Intergenic	-40716	ENSRNOT00000057623.1	LOC680227	TRUE	-2.578	0	TRUE	TRUE
chrX	74311851	74311853	intron	-3982	ENSRNOT00000075940.1	LOC680227	TRUE	-5.39	0	TRUE	TRUE
chrX	74341660	74341662	intron	25813	ENSRNOT00000076538.1	LOC680227	TRUE	-4.732	0	TRUE	TRUE
chrX	74344485	74344487	intron	28638	ENSRNOT00000076538.1	LOC680227	TRUE	-4.732	0	TRUE	TRUE
chr1	91657609	91657611	exon	-69001	ENSRNOT00000050931.3	LOC687679	FALSE	2.295	0.032	FALSE	TRUE
chr1	91465698	91465700	Intergenic	122910	ENSRNOT00000050931.3	LOC687679	FALSE	2.295	0.032	FALSE	TRUE
chr6	41873787	41873789	Intergenic	-30971	ENSRNOT00000084155.1	Lpin1	TRUE	-1.817	0.046	TRUE	TRUE
chr6	3271007	3271009	Intergenic	84331	ENSRNOT00000084602.1	Map4k3	TRUE	-5.763	0.022	TRUE	TRUE
chr6	3254255	3254257	intron	101083	ENSRNOT00000084602.1	Map4k3	TRUE	-5.763	0.022	TRUE	TRUE
chr2	11559910	11559912	Intergenic	-98655	ENSRNOT00000076710.2	Mef2c	TRUE	-2.021	0	TRUE	TRUE
chr2	11561798	11561800	Intergenic	-96767	ENSRNOT00000076710.2	Mef2c	TRUE	-2.021	0	TRUE	TRUE
chr2	11593701	11593703	Intergenic	-64864	ENSRNOT00000076710.2	Mef2c	TRUE	-2.021	0	TRUE	TRUE
chr2	11622266	11622268	Intergenic	-36299	ENSRNOT00000076710.2	Mef2c	TRUE	-2.021	0	TRUE	TRUE
chr2	11622830	11622832	Intergenic	-35735	ENSRNOT00000076710.2	Mef2c	TRUE	-2.021	0	TRUE	TRUE
chr2	11676082	11676084	intron	17517	ENSRNOT00000076710.2	Mef2c	TRUE	-2.021	0	TRUE	TRUE
chr2	11719334	11719336	intron	60769	ENSRNOT00000076710.2	Mef2c	TRUE	-2.021	0	TRUE	TRUE
chr2	11759743	11759745	intron	101178	ENSRNOT00000076710.2	Mef2c	TRUE	-2.021	0	TRUE	TRUE
chr3	111589737	111589739	Intergenic	-109347	ENSRNOT00000064395.4	Mga	TRUE	-5.722	0.027	TRUE	TRUE
chr3	111590516	111590518	Intergenic	-108568	ENSRNOT00000064395.4	Mga	TRUE	-5.722	0.027	TRUE	TRUE
chr4	113901147	113901149	intron	-47364	ENSRNOT00000011521.4	Mogs	TRUE	-1.415	0.005	TRUE	TRUE
chr4	114071734	114071736	Intergenic	123223	ENSRNOT00000011521.4	Mogs	TRUE	-1.415	0.005	TRUE	TRUE
chr4	114073859	114073861	Intergenic	125348	ENSRNOT00000011521.4	Mogs	TRUE	-1.415	0.005	TRUE	TRUE
chr5	99610405	99610407	Intergenic	-44088	ENSRNOT00000089235.1	Mpdz	FALSE	1.278	0	FALSE	TRUE
chr5	99467453	99467455	intron	98864	ENSRNOT00000089235.1	Mpdz	FALSE	1.278	0	FALSE	TRUE
chr5	99466626	99466628	intron	99691	ENSRNOT00000089235.1	Mpdz	FALSE	1.278	0	FALSE	TRUE
chr5	99459711	99459713	intron	106606	ENSRNOT00000089235.1	Mpdz	FALSE	1.278	0	FALSE	TRUE
chr4	181287227	181287229	intron	-147582	ENSRNOT00000002520.7	Mrps35	TRUE	-0.358	0.011	TRUE	TRUE
chr4	181296306	181296308	intron	-138503	ENSRNOT00000002520.7	Mrps35	TRUE	-0.358	0.011	TRUE	TRUE
chr4	181482269	181482271	intron	47460	ENSRNOT00000002520.7	Mrps35	TRUE	-0.358	0.011	TRUE	TRUE
chr10	104326958	104326960	intron	-110687	ENSRNOT00000035001.6	n/a	TRUE	-1.061	0.006	TRUE	TRUE
chr10	104368908	104368910	intron	-68737	ENSRNOT00000035001.6	n/a	TRUE	-1.061	0.006	TRUE	TRUE
chr10	104391942	104391944	intron	-45703	ENSRNOT00000035001.6	n/a	TRUE	-1.061	0.006	TRUE	TRUE
chr10	104408177	104408179	Intergenic	-29468	ENSRNOT00000035001.6	n/a	TRUE	-1.061	0.006	TRUE	TRUE
chr18	60076699	60076701	intron	-74171	ENSRNOT00000081014.1	Nars	TRUE	-6.842	0.002	TRUE	TRUE
chr18	59900397	59900399	Intergenic	102131	ENSRNOT00000081014.1	Nars	TRUE	-6.842	0.002	TRUE	TRUE
chr16	63780104	63780106	Intergenic	-100321	ENSRNOT00000058727.4	Nrg1	FALSE	2.92	0.043	FALSE	TRUE
chr1	174331505	174331507	intron	79635	ENSRNOT00000065288.1	Nrip3	TRUE	-0.445	0.012	TRUE	TRUE
chr1	174294234	174294236	Intergenic	116906	ENSRNOT00000065288.1	Nrip3	TRUE	-0.445	0.012	TRUE	TRUE
chr1	174291673	174291675	Intergenic	119467	ENSRNOT00000065288.1	Nrip3	TRUE	-0.445	0.012	TRUE	TRUE
chr1	140248593	140248595	intron	13858	ENSRNOT00000046849.5	Ntrk3	TRUE	-6.136	0.011	TRUE	TRUE
chr1	140247598	140247600	intron	14853	ENSRNOT00000046849.5	Ntrk3	TRUE	-6.136	0.011	TRUE	TRUE
chr1	140246561	140246563	intron	15890	ENSRNOT00000046849.5	Ntrk3	TRUE	-6.136	0.011	TRUE	TRUE
chr1	140183054	140183056	intron	79397	ENSRNOT00000046849.5	Ntrk3	TRUE	-6.136	0.011	TRUE	TRUE
chr1	140182271	140182273	intron	80180	ENSRNOT00000046849.5	Ntrk3	TRUE	-6.136	0.011	TRUE	TRUE
chr13	48716845	48716847	Intergenic	26886	ENSRNOT00000079707.1	Nucks1	FALSE	1.159	0.012	FALSE	TRUE
chr11	47112715	47112717	intron	-87311	ENSRNOT00000079598.1	Nxpe3	FALSE	5.017	0.003	FALSE	TRUE
chr10	88203539	88203541	Intergenic	121682	ENSRNOT00000021322.4	P3h4	FALSE	6.486	0.006	FALSE	TRUE
chr10	88196735	88196737	Intergenic	128486	ENSRNOT00000021322.4	P3h4	FALSE	6.486	0.006	FALSE	TRUE
chr8	115132182	115132184	exon	47008	ENSRNOT00000017224.6	Parp3	TRUE	-2.035	0	TRUE	TRUE
chr8	115083373	115083375	Intergenic	95817	ENSRNOT00000017224.6	Parp3	TRUE	-2.035	0	TRUE	TRUE
chr3	13645663	13645665	intron	-119681	ENSRNOT00000082036.1	Pbx3	FALSE	7.827	0	FALSE	TRUE
