Member	Gene Id	GSEA	Entrez Gene ID	Gene symbol	Gene description
KBTBD6	89890	KBTBD6	89890	KBTBD6	kelch repeat and BTB (POZ) domain containing 6
KIF2C	11004	KIF2C	11004	KIF2C	kinesin family member 2C
KNOP1	no mapping	KNOP1	no mapping	no mapping	
KRI1	65095	KRI1	65095	KRI1	KRI1 homolog (S. cerevisiae)
LDB3	11155	LDB3	11155	LDB3	LIM domain binding 3
LIPA	3988	LIPA	3988	LIPA	"lipase A, lysosomal acid, cholesterol esterase"
LOC100360679	no mapping	LOC100360679	no mapping	no mapping	
LOC100909593	no mapping	LOC100909593	no mapping	no mapping	
LOC100910164	no mapping	LOC100910164	no mapping	no mapping	
LOC100910414	no mapping	LOC100910414	no mapping	no mapping	
LOC100910771	no mapping	LOC100910771	no mapping	no mapping	
LOC100911951	no mapping	LOC100911951	no mapping	no mapping	
LOC100912375	no mapping	LOC100912375	no mapping	no mapping	
LOC500035	no mapping	LOC500035	no mapping	no mapping	
LOC680227	no mapping	LOC680227	no mapping	no mapping	
LOC687679	no mapping	LOC687679	no mapping	no mapping	
LPIN1	23175	LPIN1	23175	LPIN1	lipin 1
MAP4K3	8491	MAP4K3	8491	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
MEF2C	4208	MEF2C	4208	MEF2C	myocyte enhancer factor 2C
MGA	23269	MGA	23269	MGA	MAX gene associated
MOGS	7841	MOGS	7841	MOGS	mannosyl-oligosaccharide glucosidase
MPDZ	8777	MPDZ	8777	MPDZ	multiple PDZ domain protein
MRPS35	60488	MRPS35	60488	MRPS35	mitochondrial ribosomal protein S35
NAME	no mapping	N/A	no mapping	no mapping	
NARS	4677	NARS	4677	NARS	asparaginyl-tRNA synthetase
NRG1	3084	NRG1	3084	NRG1	neuregulin 1
NRIP3	56675	NRIP3	56675	NRIP3	nuclear receptor interacting protein 3
NTRK3	4916	NTRK3	4916	NTRK3	"neurotrophic tyrosine kinase, receptor, type 3"
NUCKS1	64710	NUCKS1	64710	NUCKS1	nuclear casein kinase and cyclin-dependent kinase substrate 1
NXPE3	no mapping	NXPE3	no mapping	no mapping	
P3H4	no mapping	P3H4	no mapping	no mapping	
PARP3	10039	PARP3	10039	PARP3	"poly (ADP-ribose) polymerase family, member 3"
PBX3	5090	PBX3	5090	PBX3	pre-B-cell leukemia homeobox 3
PCP4L1	654790	PCP4L1	654790	PCP4L1	Purkinje cell protein 4 like 1
PDCD5	9141	PDCD5	9141	PDCD5	programmed cell death 5
PDP1	54704	PDP1	54704	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1
PHF2	5253	PHF2	5253	PHF2	PHD finger protein 2
PHRF1	57661	PHRF1	57661	PHRF1	PHD and ring finger domains 1
PIM3	415116	PIM3	415116	PIM3	pim-3 oncogene
PPARA	5465	PPARA	5465	PPARA	peroxisome proliferator-activated receptor alpha
PPP1R1B	84152	PPP1R1B	84152	PPP1R1B	"protein phosphatase 1, regulatory (inhibitor) subunit 1B"
PRRC2B	84726	PRRC2B	84726	PRRC2B	proline-rich coiled-coil 2B
PRSS56	no mapping	PRSS56	no mapping	no mapping	
PTGDS	5730	PTGDS	5730	PTGDS	prostaglandin D2 synthase 21kDa (brain)
PTPRC	5788	PTPRC	5788	PTPRC	"protein tyrosine phosphatase, receptor type, C"
RAB3GAP1	22930	RAB3GAP1	22930	RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)
RASGRF1	5923	RASGRF1	5923	RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1
RGD1309108	no mapping	RGD1309108	no mapping	no mapping	
RGD1561381	no mapping	RGD1561381	no mapping	no mapping	
RN60_6_0863.2	no mapping	RN60_6_0863.2	no mapping	no mapping	
RNF128	79589	RNF128	79589	RNF128	ring finger protein 128
RPL17	6139	RPL17	6139	RPL17	ribosomal protein L17
RPP40	10799	RPP40	10799	RPP40	ribonuclease P/MRP 40kDa subunit
RTTN	25914	RTTN	25914	RTTN	rotatin
RUVBL1	8607	RUVBL1	8607	RUVBL1	RuvB-like 1 (E. coli)
SAMD9L	219285	SAMD9L	219285	SAMD9L	sterile alpha motif domain containing 9-like
SESN1	27244	SESN1	27244	SESN1	sestrin 1
SETDB1	9869	SETDB1	9869	SETDB1	"SET domain, bifurcated 1"
SLC2A1	6513	SLC2A1	6513	SLC2A1	"solute carrier family 2 (facilitated glucose transporter), member 1"
SLC7A2	6542	SLC7A2	6542	SLC7A2	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
SLFN13	146857	SLFN13	146857	SLFN13	schlafen family member 13
SMARCB1	6598	SMARCB1	6598	SMARCB1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
SP7	121340	SP7	121340	SP7	Sp7 transcription factor
SPHK1	8877	SPHK1	8877	SPHK1	sphingosine kinase 1
SREBF1	6720	SREBF1	6720	SREBF1	sterol regulatory element binding transcription factor 1
STAG1	10274	STAG1	10274	STAG1	stromal antigen 1
STAG3	10734	STAG3	10734	STAG3	stromal antigen 3
SUCO	no mapping	SUCO	no mapping	no mapping	
SVIL	6840	SVIL	6840	SVIL	supervillin
SWT1	54823	SWT1	54823	SWT1	SWT1 RNA endoribonuclease homolog (S. cerevisiae)
TBCCD1	55171	TBCCD1	55171	TBCCD1	TBCC domain containing 1
TBL1X	6907	TBL1X	6907	TBL1X	transducin (beta)-like 1X-linked
TBX21	30009	TBX21	30009	TBX21	T-box 21
TGIF2-PS1	no mapping	TGIF2-PS1	no mapping	no mapping	
THBS4	7060	THBS4	7060	THBS4	thrombospondin 4
TLN2	83660	TLN2	83660	TLN2	talin 2
TMEM63A	9725	TMEM63A	9725	TMEM63A	transmembrane protein 63A
TMOD4	29765	TMOD4	29765	TMOD4	tropomodulin 4 (muscle)
TP63	8626	TP63	8626	TP63	tumor protein p63
TTR	7276	TTR	7276	TTR	transthyretin
TUBB2A	7280	TUBB2A	7280	TUBB2A	"tubulin, beta 2A class IIa"
USP32	84669	USP32	84669	USP32	ubiquitin specific peptidase 32
WBP11	51729	WBP11	51729	WBP11	WW domain binding protein 11
WDR74	54663	WDR74	54663	WDR74	WD repeat domain 74
YIPF6	286451	YIPF6	286451	YIPF6	"Yip1 domain family, member 6"
ZFP523	7629	ZFP523	7629	ZNF76	zinc finger protein 76
ZFP78	no mapping	ZFP78	no mapping	no mapping	
